Barcode,Call Number,Title,Author,Year,Edition,ISBN,Publication,Publisher,Collection Code,Physical Description,Note Area,Price
GS00815,EB P2931 2009,The prodigal son,"Pastor, Boots S.A",2009,,9789715182836,Manila,Lampara Publishing House,EB,[unpaged] ; col. ill. : 27 cm,,
GS00816,EB O872 2019,"Be yourself, baba!","Otani, Hitomi",2019,,9789811115189,Singapore,Scholastic Inc,EB,32p. ; col. ill. : 24 cm,,
GS00817,EB P2381 2019,Cocoon,"Parker, Aura",2019,,9789714872744,Singapore,Scholastic Inc,EB,[unpaged] ; col. ill. : 24 cm,,
GS00818,GC 600 W87281 2022,Wonders of learning: discover inventions & discoveries,WS Pacific Publications,2022,,9781783731930,Manila,"WS Pacific Publications, Inc.",GC,45p. ; col. ill. : 29 cm,,
GS00819,GC 005.13 W87281 2022,Wonders of learning: discover computers & coding,WS Pacific Publications,2022,,9781839235597,Manila,"WS Pacific Publications, Inc.",GC,45p. ; col. ill. : 29 cm,,
GS00820,GC 363.738 W87281 2022,Wonders of learning: discover global warming & climate change,WS Pacific Publications,2022,,9781786905802,Manila,"WS Pacific Publications, Inc.",GC,45p. ; col. ill. : 29 cm,,
GS00821,GC 551 W87281 2022,Wonders of learning: discover geology,WS Pacific Publications,2022,,9781786906922,Manila,"WS Pacific Publications, Inc.",GC,45p. ; col. ill. : 29 cm,,
GS00822,R 523 R547 2017,Exploring stars and planets,"Ridpath, Ian",2017,,9780785835745,New York,Chartwell Books,R,80p. ; col. ill. : 29 cm,,
GS00823,R 591.77 A914 2023,Ocean scene: full of facts about underwater animals,,2023,,9781839031267,United Kingdom,Autumn Publishing,R,[unpaged] ; col. ill. : 30 cm,,
GS00824,R 398.2 O634 2018,Nine worlds in nine nights: a journey through imaginary lands,"Oram, Hiawyn",2018,,9781406377705,Walker Studio,,R,101p. ; col. ill. : 35 cm,,
GS00825,R 910 G744 2020,The atlas of great journeys,"Gralingen, Christian",2020,,978178312510,London,Welbeck Children's Book,R,48p. ; col. ill. : 35 cm,,
GS00826,EB O655 2024,My muslim friend = Ang kaibigan kong muslim,"Ordinario, Mary Ann",2024,,9789719217725,Kidapawan City,ABC Educational Development Center Children's Book In,EB,[unpaged] ; col. ill. : 23 cm,,
GS00827,EB W8531 2018,Barefoot bulayan: a true to life story of bagobo boy who does not like to wear shoes,"Solina-Wolf, Bernadette",2018,,9789710492428,Kidapawan City,ABC Educational Development Center Children's Book In,EB,35p. ; col. ill. : 26 cm,,
GS00828,EB O655d 2018,"Dearest papa: a letter of a child to his father, one of the fallen marines in the marawi seige","Ordinario, Mary Ann",2018,,9789710492411,Kidapawan City,ABC Educational Development Center Children's Book In,EB,[unpaged] ; col. ill. : 26 cm,,
GS00829,EB E9299 2023,"May gadget ako, may libro ako","Evasco, Eugene",2023,,9786214740437,Quezon City,Lampara Books,EB,[unpaged] ; col. ill : 43 cm,,
GS00830,EB G132 2024,I say thank you,"Gagatiga, Zarah",2024,,9786214745685,Quezon City,Lampara Books,EB,16 p. ; col. ill. : 43 cm,,
GS00831,EB E9299m 2023,Ang magalang na dyip,"Evasco, Eugene",,,9786214740475,Quezon City,Lampara Books,EB,16 p. ; col. ill. : 43 cm,,
GS00832,EB O655a 2025,Ako ay pilipino: mahahalagang kaugaliang pilipino para sa mga bata,"Ordinario, Mary Ann",2025,,9789710492916,Kidapawan City,ABC Educational Development Center Children's Book In,EB,[unpaged] ; col. ill. : 26 cm,,
GS00833,FIC 823 B338 2016a,The Dinosaur Detectives - In the Amazon Rainforest,"Baudet, Stephanie",2016,,,,Sheperd's Voice Publications Inc.,FIC,,,40
GS00834,FIC 823 B338 2016j,The Dinosaur Detectives - The Jurassic Coast,"Baudet, Stephanie",2016,,,,UP Press Publishing,FIC,,,135
GS00835,FIC 823 B338 2020,"The Dinosaur Detectives: Dragons, Dracula and Dinosaurs","Baudet, Stephanie",2020,,,,"Fastbooks Educational Supply, Inc.",FIC,,,100
GS00836,FIC 823 D612 2023,Disney 7 Days of Heroic Stories,Disney,2023,,,,UP Press Publishing,FIC,,,90
GS00837,FIC 823 M618 2023,Planet Omar: Ultimate Rocket Blast,"Mian, Zanib",2023,,,,Unlimited Books,FIC,,,775
GS00838,FIC 823 R696 2023,Super Maya,"Rodriguez, Bambi A.",2023,,,,UP Press Publishing,FIC,,,260
GS00839,FIC 823 S294 2016,Disney Star Wars Young Readers: Finn and the First Order,"Schaefer, Elizabeth",2016,,,,"Fastbooks Educational Supply, Inc.",FIC,,,50
GS00840,FIC 823 S294 2016 c.1,Disney Star Wars Young Readers: Finn and the First Order,"Schaefer, Elizabeth",2016,,,,Ilaw ng Tahanan,FIC,,,100
GS00841,FIC 899.211 C957 2023,Ang pusang kartero,"Cruz, Genaro Gojo",2023,,,,Ilaw ng Tahanan,FIC,,,100
GS00842,FIC 899.211 A189 2024,Kilig,"Acuña, Pergy",2024,,,,Sheperd's Voice Publications Inc.,FIC,,,30
GS00843,FIC 899.211 B826 2006,The Cat painter,"Bravo, Becky",2006,,,,"Pacific Publications, INC.",FIC,,,100
GS00844,FIC 899.211 F634 2020h,Hiya,"Flores, Liza",2020,,,,Comic Odyssey,FIC,,,100
GS00845,FIC 899.211 F634 2020s,Sungit,"Flores, Liza",2024,,,,Comic Odyssey,FIC,,,100
GS00846,FIC 899.211 M539 2024e,Batang Matalino El Filibusterismo,"Mendoza, Demi Frances I.",2024,,,,Adarna House INC.,FIC,,,480
GS00847,FIC 899.211 M539 2024n,Batang Matalino Noli Me Tangere,"Mendoza, Demi Frances I.",2024,,,,Ilaw ng Tahanan,FIC,,,100
GS00848,FIC 899.211 R457 2022,Ang Tahanang Hindi Tumatahan,"Reyes, Iza",2022,,,,Comic Odyssey,FIC,,,100
GS00849,GC 641.5959 S775 2016,What Kids Should Know About Filipino Food,"Sta. Maria, Felice Prudente",2016,,,,Komiket Inc.,GC,,,400
GS00850,GC 720.9599 C112 2015,What Kids Should Know About Filipino Architecture,"Cabalfin, Edson G., PhD.",2015,,,,Comic Odyssey,GC,,,100
GS00851,GC 728.3 P187 2022,Bahay: A Tour of Traditional Filipino Homes,"Panadero, Adrian",2022,,,,"Fastbooks Educational Supply, Inc.",GC,,,50
GS00852,GC 781.621599 P923 2022,What Kids Should Know About Filipino Musical Instruments,"Predente, Felicidad A., PhD.",2022,,,,Adarna House INC.,GC,,,480
GS00853,GC 959.9 C132 2013,What Kids Should Know About Andres Bonifacio and the Katipunan,"Cahiles, Weng D.",2013,,,,Sheperd's Voice Publications Inc.,GC,,,30
GS00854,REF 920.0599 R758 2020,Gabriela Silang,"Romana-Cruz, Neni Sta.",2020,,,,Sheperd's Voice Publications Inc.,REF,,,150
GS00855,REF 920.0599 J831 2020,Antonio Luna,"Jose, Vivencio R.",2020,,,,Comic Odyssey,REF,,,100
GS00856,REF 920.0599 J831 2020,Emilio Aguinaldo,"Ordoñez, Elmer A.",2020,,,,"PSICOM Publishing, Inc.",REF,,,245
GS00857,REF 920.0599 L358 2020,Apolinario Mabini,"Dr. Latorre, Stephen",2020,,,,,REF,,,299
GS00858,REF 920.0599 M491 2020,Andres Bonifacio,"Medina, Isagani R.",2020,,,,"PSICOM Publishing, Inc.",REF,,,135
GS00859,REF 920.0599 O151 2020,Teodora Alonso,"Ocampo, Ambeth R.",2020,,,,"Pacific Publications, INC.",REF,,,50
GS00860,REF 920.0599 O656 2020b,Benigno Aquino,"Ventura, Sylvia Mendez",2020,,,,Adarna House INC.,REF,,,160
GS00861,REF 920.0599 O656 2020j,Jose Rizal,"Ventura, Sylvia Mendez",2020,,,,Komiket Inc.,REF,,,250
GS00862,REF 920.0599 Q82 2020j,Juan Luna,"Quirino, Carlos",2020,,,,Mindshapers Inc.,REF,,,50
GS00863,REF 920.0599 Q82 2020m,Manuel Quezon,"Quirino, Carlos",2020,,,,,REF,,,199
GS00864,333.75 T553c,Can we live without trees,"Tobias,may",,,9789715084840,,Adarna House,REF,48p.; 26cm,,
GS00865,GC 333.75 T629 2014,Can We Live Without Trees,"Tobias-Papa, May",2014,,,,"Pacific Publications, INC.",GC,,,100
GS00866,GC 333.91 R671 2007,Can We Drink the Ocean?,"Roceles-Jimenez, Gidget",2007,,,,"Pacific Publications, INC.",GC,,,195
GS00867,GC 595.789599 P295 1999,A First look at Philippine Butterflies,"Paterno, Maria Elena",1999,,,,Claretian Communications Foundation Inc.,GC,,,695
HS00001,TR 658. P346 2010,Human resource management (from the practitioner's point of view,"Payos, Ranulfo",2010,,9789712356438,,,TR,263p; 26cm,,
HS00002,TR 650.1 M231 1997,"True professionalism: the courage to care about your people, your clients, and your career","Maister, David H.",1997,,9780684840048,New York,,TR,209p; 22cm,w/ indexes,
HS00003,R 591 OC15 2018,Over 100 facts for kids,,2018,,9781788106696,China,Igloobooks,REF,29p: col. ill.; 22cm,,
HS00004,R 951.930 T364,Thailand,,,,9781780057262,,,REF,381p: col. ill.; 23cm,w/ indexes,
HS00005,R 158.128 IN59 2016,365 inspirations for a joyful life,"De Fabianis, Valerie Manferto (editor)",2016,,9788854410657,,White Star Publishers,REF,col. ill.; 1cm,,
HS00006,GC 745.54 P148 2014,125 papercrafts projects,"Painter, Lucy (editor)",2014,,9781844779079,,Hermes House,GC,256p: col. ill.; 22cm,,
HS00007,GC 516 AS835 2011,Geometry: the size and shape or everyday math,"Askew, Mike",2011,,9780857624185,London,New Burlington Books,GC,176p: col. ill.; 21cm,,
HS00008,GC 512 W712 2010,Algebra: the x and y of everyday math,"Willers, Michael",2011,,9780857624161,London,New Burlington Books,GC,176p: col. ill.; 21cm,,
HS00009,TR 616.0472 B496 2006,Healing pain,"Berger, Ann",2006,,1594860122,"Rodale, Inc.",,TR,237p; 23cm,,
HS00010,GC 153.35 B274 2014,The remembering process,"Barett, Daniel",2014,,978781800614,California,Hay House,GC,163p; 22cm,,
HS00011,GC 221.95 J82 2015,"Bible timeline: from the creation to the death of John, and 100","Jordan, Samuel T.",2016,,9780785834533,New York,Chartwell Books,GC,240p: col. ill.; 24cm,,
HS00012,GC 294.34 D954 2017,The essence of buddhism,"Smith, Jo Durden",2017,,9781784284008,London,Arcturus Publishing Limited,GC,240p : 22cm,,
HS00013,GC 109 G244 2012,The story of philosophy: a history of western thought,"Garvey, James",2012,,9781786484390,,Quercus,GC,418p; 20cm,,
HS00014,TR 158.2 C289 2017,How to enjoy your life & your job,"Carnegie, Dale",2017,,978818252990,India,Wilco,TR,161p; 20cm,,
HS00015,TR 399:21 T153 2105,The teacher and the curriculum: a guide to curriculum development practice,"Pawilen, Greg Tabios",2015,,9786210400052,"Manila, Philippines",Rex Book Store,TR,155p; 25cm,,
HS00016,R 612 D186 2014,The body: a complete user's guide,"Restak, Richard",2014,Revised edition,9781426214141,,Scientific Publishing Ltd,REF,367p: col. ill.; 25cm,,
HS00017,R 616.02 K26 2014,Practical guide to first aid: fast and effective emergency care,"Keech, Pippa",2014,,9781846810152,London,Annes Publishing Ltd,REF,256p: col. ill.; 22cm,,
HS00018,GC 616 L818 2016,Migraines: more than a headache,"Leroux, Elizabeth",2016,,9781459732896,Toronto,Dundurn Press,GC,172p: col. ill.; 26cm,,
HS00019,GC 909 M359 2016,The history of the world in bite-sized chunks,"Marriot, Emma",2016,,9781782437079,London,Michael O'Mara Books Limited,GC,192p; 20cm,,
HS00020,GC 158.1 ST844 2016,The souls agenda: the inner selFIL waits patiently until we ready to discover it,"Stevens, Michelle",2016,,9781782493372,London,CICO Books,GC,128p; 24cm,,
HS00021,GC 158.13 V536 2015,Practical mindfulness: a step-by-step guide,"Annesley, Mike",2015,,9780241206546,China,Dorling Kindersley Ltd.,GC,224p: col. ill.; 24cm,,
HS00022,GC 004.94 IS73 2014,The innovators,"Isaacson, Walter",2014,,978147670869,New York,Simon & Schuster,GC,542p; 24cm,,
HS00023,GC 155.232 SH525 2018,Overcoming perfectionism,"Shafran, Roz",2010,2nd edition,9781472140562,London,Robinson,GC,430p; 20cm,,
HS00024,GC 158.1 L547 2012,Have a new you by friday,"Leman, Kevin",2010,,9780800719333,Michigan,Revell,GC,247p; 22cm,,
HS00025,R 158.12 H847,How to live a happy life,,2016,,9780753732816,London,Bounty Books,REF,21cm,,
HS00026,GC 158.1 B899 2015,What are you waiting for?,"Brunskikl-Matson, Shelly",2015,,9781921966651,Australia,Exisle Publishing Ltd,GC,167p; 24cm,,
HS00027,F 923.2599 D596s 2010,"Jose ""ka Pepe"" W. Diokno : makatao, makabayan","Sepeda, Bernado Noceda",2010,,9789715489968,Quezon City,"C & E Publishing, Inc.",FIL,226p: ill.; 22cm,,
HS00028,GC 364.13 C383 1999,The world's worst atrocities,"Cawthorne, Nigel",1999,,978075370090,London,Chancellor Press,GC,191p: ill.; 20cm,,
HS00029,GC 616.8606 W916 2014,Kick your addiction : how to quit anything,"Woolverton, Frederick",2014,,101629145874,New York,Skyhorse Publishing,GC,232p; 21cm,,
HS00030,615.788 P759h 2018,How to change your mind,"Pollan, Michael",2018,,9780735224155,London,Penguin Books,GC,465p; 22cm,w/ indexes,
HS00031,R 201 EV151D 1970,Dictionary of mythology,"Evans, Bergen",1970,,9780440208488,New York,A Dell Book,REF,310p; 18cm,,
HS00032,R 523.1 AT881 2016,Atlas of the universe,,2016,,9781925449372,,Herron & Murray,REF,182p: col. ill.; 28cm,,
HS00033,R 641.5884 F958 2016,Slow cooker solution,,2016,,9781474817233,,Parragon Books Ltd,REF,172p: col. ill; 27cm,w/ indexes,
HS00034,GC 900 L136 2003,A history of sweden,"Lagerqvist, Lars",2003,,,,,GC,203p; 21cm,,
HS00035,R 530 J12 2013,Physics: an illustrated history of the foundations of science,"Jackson, Tom",2013,,9780985233066,New York,Shelter Harbor Press,REF,144p: col.ill.; 28cm,,
HS00036,GC 158.1 C487 2014,Mindfulness in eight weeks,"Chaskalson, Michael",2014,,9780007967223,London,Shelter Harbor Press,GC,280p; 20m,,
HS00037,GC 395 H848 2013,Modern manners,"Howard, Philip",2013,,9781849546300,London,The Robson Press,GC,309p: ill.; 21cm,,
HS00038,GC 243.4 P358 2017,The power of positive thinking,"Peale, Norman Vincent",2017,,9788182529946,India,Wilcom,GC,258,,
HS00039,GC 001.64 C46p,Pascal programming made easy,"Mendoza, Armando C.",,2nd edition,,,,GC,190p; 23cm,,
HS00040,GC 261.8 G16 1999,The lightning rod of God,"Gallardo, Blanche",1999,,,,Vineyeard Publishing Company,GC,126p; 23cm,,
HS00041,GC 248.4 H34 1999,The healing cut,,1999,,9789712709019,"Pasig, Philippines","Anvil Publishing, Inc.",GC,268p; 23cm,,
HS00043,GC 244.28 O65 2009,The order of prayer for the liturgy of the hours and celebration of the eucharist for tthee dioceses of the Philiippines,,2009,,,,,GC,195p; 16cm,,
HS00044,GC 244.28 O65 2009,The order of prayer for the liturgy of the hours and celebration of the eucharist for tthee dioceses of the Philiippines,,2019,,,,,GC,195p; 16cm,,
HS00045,GC 220.13 B58 2006,The bible promise book,,2006,,9781597895202,Barbour Publishing Inc.,Barbour Publishing Inc.,GC,175p; 18cm,,
HS00046,GC 220.07 E96 2004,The new exploring God's woorld,,2003,"Putzu, Salvatore",,Manila,Word and Life Publications,GC,176p: ill. 21cm,,
HS00047,GC 230.20 C36 2004,The catholic chuch iin the 21st century,,2004,,764811479,,Catholic Community Foundation,GC,129p; 21cm,,
HS00048,GC 262.9 B46 2004,Caritas in veritate,,2004,,,Manila,Catholic Book Center,GC,86p; 22cm,,
HS00049,GC 241.4 K26 1996,Virtues for ordinary Christians,"Keenan, James",2001,,9789715019137,"Quezon City, Philippines",Claretian Publications,GC,140p; 21cm,,
HS00050,GC 268 A14 2003,A third look at Jesus,"Abesamis, Carlos",2003,,9789715018795,"Quezon City, Philippines",Claretian Publications,GC,226p; 23cm,,
HS00051,GC 590 M61212 2016,Zoology,"Miller, Stephen A.",2016,10th edition,9789813150126,New York,McGraw-Hill,GC,619p: ill.; 26cm,,
HS00052,GC 220 219,Christus Vivit,,2019,,9789715908771,Pasay City,Paulines Publishing House,GC,127p; 21cm,,
HS00053,GC 234.2 J65 199,Crossing the threshold of hope,"Paul, John",1994,,9780224040150,London,Jonathan Cape,GC,244p; 20cm,,
HS00054,R 423 SA59 1995,"Dictionary of synonyms, antonyms and homonyms","Santiago, Katherine",1995,,9717160090,Tarlac,Books on Wheels Entreprise,REF,210p; 18cm,,
HS00055,GC 507.8 T561 2003,Experiments with sportts,"Tocci, Salvatore",2003,,516227890,Canada,Children's Press,GC,47p: col. ill.; 22cm,w/ indexes,
HS00056,649.64 W979d 2019,Discipline without shouting or spankiing,"Wyckoff, Jerry L.",2019,,9781488911071,Manila,"WS Pacific Publication, Inc.",GC,181p; 23cm,w/ indexes,
HS00057,GC 261.8 S37 1995,The Catholic challenge,"Schreck, Aln",1995,,,Makati,St. Pauls,GC,241p; 20cm,,
HS00058,242 C737c 2020,Companion: a catholic scripture diary (Jan-Mar),,2020,,9770117772008,Quezon City,"Shepher's Voice Publications, Inc.",GC,213p; 21cm,,
HS00059,242 C737c 2020,Companion: a catholic scripture diary (Apr-Jun),,2020,,9770117772008,Quezon City,"Shepher's Voice Publications, Inc.",GC,213p; 21cm,,
HS00060,242 C737c 2020,Companion: a catholic scripture diary (Jul-Sep),,2020,,9770117772008,Quezon City,"Shepher's Voice Publications, Inc.",GC,213p; 21cm,,
HS00061,242 C737c 2020,Companion: a catholic scripture diary (Oct-Dec),,2020,,9770117772008,Quezon City,"Shepher's Voice Publications, Inc.",GC,213p; 21cm,,
HS00062,GC 220.7 W25 1998,Genesiis,Wansbrough,1998,,9715017878,"Quezon City, Philippines",Claretian Publications,GC,213p; 21cm,,
HS00063,GC 641.5 L49I 2011,Lebanese cooking,,,,,Quezon City,"Lampara Publishing House Inc.,",GC,63p: col. ill.; 20cm,,
HS00064,809.93372 Ex71,Exploring historal fiction,,1985,,590493000,"Scholastic, Inc.",,GC,56p: ill.; 19cm,,
HS00065,252 M64 1990,As rain that falls,"Miller, Charles E.",1990,,9715041272,Makati,St. Paul Publication,GC,157p; 21cm,,
HS00066,GC 220 219,Christus Vivit,,2019,,9789715908771,Pasay City,Paulines Publishing House,GC,127p; 21cm,,
HS00067,GC 271 S23 1995,In search of true wisdom,"Bolshakoff, Sergius",1995,,9715043194,Makati,St. Pauls,GC,176p; 21cm,,
HS00068,GC 234.20 D85 1992,The graced horizon,"Duffy, Stephen J.",1995,,9715041132,Makati,St. Pauls,GC,247p; 21cm,,
HS00069,242.74 R731,Rosarium virgins Mariae,,2003,,9715904432,Pasay City,Paulines,GC,54p; 21cm,,
HS00070,004 C869i,Internet technology,"Crisostomo, Coonchita Camba",,,,,,GC,167p: ill.; 23cm,,
HS00071,F 813 B118j 2006,Jonathan Livingston seagull,"Bach, Richard",2006,,9780684846842,New York,Scribner,FIC,95p: ill.; 22cm,,
HS00072,GC 394.26 A346 2016,Religious festivals in contemporary Southeast Asia,"Alcedo, Patrick",2016,,9789715507592,Quezon City,Ateno De Manila University Press,GC,259p: ill.; 23cm,w/ indexes,
HS00073,FIL 031 M862 2009,A 6th bowl of chicken soup for the sou,"Canfield, Jack",2012,,9781623610739,,"Soul Publishing, LLC.",FIL,355p; 22cm,w/ indexes,
HS00074,R 031 N277 2019,Almanac 2020,,2020,,978142622052,Washington DC,National Geographic,REF,398p: col. ill.; 24cm,w/ indexes,
HS00076,428.1 V711m 2006,Mastering the english language,"Villa, Teresita",2006,,9789719354741,Quezon City,Gayo Publishing,REF,202p; 18cm,,
HS00077,R 200 T162 2005,Hark the Herald: how the bible tells us when Jesus was born,"Tapiadoe, Gerardo R.",2005,,9789710390147,Makati,St. Pauls,REF,25p: col. ill.; 13cm,,
HS00078,R 031.02 R59 2011,Ripley's: believe it oor not! Noof!,,2011,,9780545380775,New York,"Scholastic, Inc.",REF,96p: ill.; 20cm,,
HS00079,R 430 — 2000,Webster's pocket spelling dictionary of the english language,,2000,New revised edition,1888777516,,Trident Press International,REF,318p; 18cm,,
HS00080,FIC M5751 2000,"Anastasia: the last grand Duchess, Russia, 1914","Meyer, Carolyn",2000,,9780545535786,New York,"Scholastic, Inc.",FIC,209p; 20cm,,
HS00081,FIC P296 1977,Bridge to Terabithia,"Paterson, Katherine",,,,New York,HarperCollins Publishers,FIC,191p;,,
HS00082,R 220.3 M15 1965,Dictionary of the bible,"Mckenzie, John L., S.J.",1965,,0-02-08-7720-X,New York,"Mcmillan Publishing Co., Inc.",REF,954p,,
HS00083,R 220.5207 J48B 1966,The Jerusalem bible,Philippine bible society,1966,,978-971-29-0098-3,United States of America,"Darton, Longman & Todd, Ltd.,",REF,"xvi, 498p: 23 cm",,
HS00084,R 220.5207 J48B 1966 c.1,The Jerusalem bible,Philippine bible society,1966,,978-971-29-0098-3,United States of America,"Darton, Longman & Todd, Ltd.,",REF,"xvi, 498p: 23 cm",,
HS00085,R 220.5207 J48B 1966 c.2,The Jerusalem bible,Philippine bible society,1966,,,United States of America,"Darton, Longman & Todd, Ltd.,",REF,"xvi, 498p: 23 cm",,
HS00086,R 220.5207 J48B 1966 c.3,The Jerusalem bible,Philippine bible society,1966,,,United States of America,"Darton, Longman & Todd, Ltd.,",REF,"xvi, 498p: 23 cm",,
HS00087,R 220.5207 J48B 1966 c.4,The Jerusalem bible,Philippine bible society,1966,,,United States of America,"Darton, Longman & Todd, Ltd.,",REF,"xvi, 498p: 23 cm",,
HS00088,R 220.5207 J48B 1966 c.5,The Jerusalem bible,Philippine bible society,1966,,,United States of America,"Darton, Longman & Todd, Ltd.,",REF,"xvi, 498p: 23 cm",,
HS00089,R 220.5207 J48B 1966 c.6,The Jerusalem bible,Philippine bible society,1966,,971-29-0098-3 JB 053,United States of America,"Darton, Longman & Todd, Ltd.,",REF,"xvi, 498p: 23 cm",,
HS00090,R 220.5207 J48B 1966 c.7,The Jerusalem bible,Philippine bible society,1966,,,United States of America,"Darton, Longman & Todd, Ltd.,",REF,"xvi, 498p: 23 cm",,
HS00091,FIC AL13FIL 2006,For one more day,"Albom, Mitch",2006,,9780786891177,New York,Hyperion Books,FIC,197p; 17cm,,
HS00092,R 220 B58 1994,Good news Bible,The bible societies,1994,Second edition,,,Harper Collins,REF,380p,,
HS00093,811.54 St43j 2001,Journey through heartsongs,"Stepank, Mattie J.T",2001,,GS00009 GS00009,,VSP Books,GC,,,
HS00094,GC 292.13 H181m 1969,Mythology: timeless tales of gods and heroes,"Hamilton, Edith",1969,Illustrated edition,978-0-316-43852-0 (hard cover),New York,Black Dog and Leventhal Publishers,GC,371p: 24cm,,
HS00095,FIC C 1977,A stranger is watching,"Clark, Mary Higgins",1977,,9780671230715,New York,Simon and Schuster,FIC,256p; 22cm,,
HS00096,FIC A511e 2016,Enchanted islands,"Amend, Allison",2016,,9780385539067,New York,Nan A. Talese/Doubleday,FIC,306p; 25cm,,
HS00097,GC 610.2819 H8h 1994,Eight secrets of health,"Nelson, Ethel R., M.D.",1994,,,"Bangkok, Thailand",Thailand Publishing house,GC,215p: 23cm,,
